timeSec,seq_id,sinr_db,mcs,packet_sent,packet_received,window_pdr
10.429104767,83,571861.1356873828,14,2,0.0,0.0
10.529104767,84,571861.1356873828,14,2,0.0,0.0
10.629104767,85,571861.1356873828,14,2,0.0,0.0
10.729104767,86,571861.1356873828,14,2,0.0,0.0
10.829104767,87,571861.1356873828,14,2,0.0,0.0
10.929104767,88,571861.1356873828,14,2,0.0,0.0
11.029104767,89,571861.1356873828,14,2,0.0,0.0
11.129104767,90,571861.1356873828,14,2,0.0,0.0
11.229104767,91,571861.1356873828,14,2,0.0,0.0
11.329104767,92,571861.1356873828,14,2,0.0,0.0
11.429104767,93,571861.1356873828,14,2,0.0,0.0
11.529104767,94,571861.1356873828,14,2,0.0,0.0
11.629104767,95,571861.1356873828,14,2,0.0,0.0
11.729104767,96,571861.1356873828,14,2,0.0,0.0
11.829104767,97,571861.1356873828,14,2,0.0,0.0
11.929104767,98,571861.1356873828,14,2,0.0,0.0
12.029104767,99,571861.1356873828,14,2,0.0,0.0
