timeSec,seq_id,sinr_db,mcs,packet_sent,packet_received,window_pdr
6.729104767,46,50.503901106563305,14,1,1.0,1.0
6.746444231,46,52.16842442760704,14,1,1.0,1.0
6.829104767,47,51.697603635469676,14,1,1.0,1.0
6.846444231,47,53.683423947777655,14,1,1.0,1.0
6.929104767,48,51.83873613685105,14,1,1.0,1.0
6.946444231,48,51.83873613685105,14,1,1.0,1.0
7.029104767,49,53.16246501999749,14,1,1.0,1.0
7.046444231,49,53.16246501999749,14,1,1.0,1.0
7.129104767,50,51.46371066884977,14,1,1.0,1.0
7.146444231,50,51.46371066884977,14,1,1.0,1.0
7.229104767,51,53.194918710861714,14,1,1.0,1.0
7.246444231,51,53.194918710861714,14,1,1.0,1.0
7.329104767,52,50.92721224226847,14,1,1.0,1.0
7.346444231,52,50.92721224226847,14,1,1.0,1.0
7.429104767,53,53.54859418725043,14,1,1.0,1.0
7.446444231,53,53.54859418725043,14,1,1.0,1.0
7.529104767,54,52.09632155330408,14,1,1.0,1.0
7.546444231,54,52.09632155330408,14,1,1.0,1.0
7.629104767,55,52.632225958286625,14,1,1.0,1.0
7.646444231,55,52.632225958286625,14,1,1.0,1.0
7.729104767,56,52.041899200491315,14,1,1.0,1.0
7.746444231,56,52.041899200491315,14,1,1.0,1.0
7.829104767,57,53.51560824970804,14,1,1.0,1.0
7.846444231,57,53.51560824970804,14,1,1.0,1.0
7.929104767,58,49.752712744972875,14,1,1.0,1.0
7.946444231,58,49.752712744972875,14,1,1.0,1.0
8.029104767,59,54.57337045742972,14,1,1.0,1.0
8.046444231,59,54.57337045742972,14,1,1.0,1.0
8.129104767,60,52.74464468755086,14,1,1.0,1.0
8.146444231,60,52.74464468755086,14,1,1.0,1.0
8.229104767,61,52.59065002604126,14,1,1.0,1.0
8.246444231,61,52.59065002604126,14,1,1.0,1.0
8.329104767,62,50.543481517470205,14,1,1.0,1.0
8.346444231,62,50.543481517470205,14,1,1.0,1.0
8.429104767,63,53.03040648497745,14,1,1.0,1.0
8.446444231,63,53.03040648497745,14,1,1.0,1.0
8.529104767,64,53.110102878731155,14,1,1.0,1.0
8.546444231,64,53.110102878731155,14,1,1.0,1.0
8.629104767,65,51.93569246720318,14,1,1.0,1.0
8.646444231,65,51.93569246720318,14,1,1.0,1.0
8.729104767,66,51.90871911151709,14,1,1.0,1.0
8.746444231,66,51.90871911151709,14,1,1.0,1.0
8.829104767,67,54.03480739542496,14,1,1.0,1.0
8.846444231,67,54.03480739542496,14,1,1.0,1.0
8.929104767,68,49.92448590681475,14,1,1.0,1.0
