timeSec,seq_id,sinr_db,mcs,packet_sent,packet_received,window_pdr,success
8.129104767,60,180184.4344542264,14,2,0.0,0.0,1
8.229104767,61,180184.4344542264,14,2,0.0,0.0,1
8.329104767,62,180184.4344542264,14,2,0.0,0.0,1
8.429104767,63,180184.4344542264,14,2,0.0,0.0,1
8.529104767,64,180184.4344542264,14,2,0.0,0.0,1
8.629104767,65,180184.4344542264,14,2,0.0,0.0,1
8.729104767,66,180184.4344542264,14,2,0.0,0.0,1
8.829104767,67,180184.4344542264,14,2,0.0,0.0,1
8.929104767,68,180184.4344542264,14,2,0.0,0.0,1
9.029104767,69,180184.4344542264,14,2,0.0,0.0,1
9.129104767,70,180184.4344542264,14,2,0.0,0.0,1
9.229104767,71,180184.4344542264,14,2,0.0,0.0,1
9.329104767,72,180184.4344542264,14,2,0.0,0.0,1
9.429104767,73,180184.4344542264,14,2,0.0,0.0,1
9.529104767,74,180184.4344542264,14,2,0.0,0.0,1
9.629104767,75,180184.4344542264,14,2,0.0,0.0,1
9.729104767,76,180184.4344542264,14,2,0.0,0.0,1
9.829104767,77,180184.4344542264,14,2,0.0,0.0,1
9.929104767,78,180184.4344542264,14,2,0.0,0.0,1
10.029104767,79,180184.4344542264,14,2,0.0,0.0,1
10.129104767,80,180184.4344542264,14,2,0.0,0.0,1
10.229104767,81,180184.4344542264,14,2,0.0,0.0,1
10.329104767,82,180184.4344542264,14,2,0.0,0.0,1
10.429104767,83,180184.4344542264,14,2,0.0,0.0,1
10.529104767,84,180184.4344542264,14,2,0.0,0.0,1
10.629104767,85,180184.4344542264,14,2,0.0,0.0,1
10.729104767,86,180184.4344542264,14,2,0.0,0.0,1
10.829104767,87,180184.4344542264,14,2,0.0,0.0,1
10.929104767,88,180184.4344542264,14,2,0.0,0.0,1
11.029104767,89,180184.4344542264,14,2,0.0,0.0,1
11.129104767,90,180184.4344542264,14,2,0.0,0.0,1
11.229104767,91,180184.4344542264,14,2,0.0,0.0,1
11.329104767,92,180184.4344542264,14,2,0.0,0.0,1
11.429104767,93,180184.4344542264,14,2,0.0,0.0,1
11.529104767,94,180184.4344542264,14,2,0.0,0.0,1
11.629104767,95,180184.4344542264,14,2,0.0,0.0,1
11.729104767,96,180184.4344542264,14,2,0.0,0.0,1
11.829104767,97,180184.4344542264,14,2,0.0,0.0,1
11.929104767,98,180184.4344542264,14,2,0.0,0.0,1
12.029104767,99,180184.4344542264,14,2,0.0,0.0,1
12.129104767,100,180184.4344542264,14,2,0.0,0.0,1
12.229104767,101,180184.4344542264,14,2,0.0,0.0,1
12.329104767,102,180184.4344542264,14,2,0.0,0.0,1
12.429104767,103,180184.4344542264,14,2,0.0,0.0,1
12.529104767,104,180184.4344542264,14,2,0.0,0.0,1
12.629104767,105,180184.4344542264,14,2,0.0,0.0,1
12.729104767,106,180184.4344542264,14,2,0.0,0.0,1
12.829104767,107,180184.4344542264,14,2,0.0,0.0,1
12.929104767,108,180184.4344542264,14,2,0.0,0.0,1
13.029104767,109,180184.4344542264,14,2,0.0,0.0,1
13.129104767,110,180184.4344542264,14,2,0.0,0.0,1
13.229104767,111,180184.4344542264,14,2,0.0,0.0,1
13.329104767,112,180184.4344542264,14,2,0.0,0.0,1
13.429104767,113,180184.4344542264,14,2,0.0,0.0,1
13.529104767,114,180184.4344542264,14,2,0.0,0.0,1
13.629104767,115,180184.4344542264,14,2,0.0,0.0,1
13.729104767,116,180184.4344542264,14,2,0.0,0.0,1
13.829104767,117,180184.4344542264,14,2,0.0,0.0,1
13.929104767,118,180184.4344542264,14,2,0.0,0.0,1
14.029104767,119,180184.4344542264,14,2,0.0,0.0,1
14.129104767,120,180184.4344542264,14,2,0.0,0.0,1
14.229104767,121,180184.4344542264,14,2,0.0,0.0,1
14.329104767,122,180184.4344542264,14,2,0.0,0.0,1
14.429104767,123,180184.4344542264,14,2,0.0,0.0,1
14.529104767,124,180184.4344542264,14,2,0.0,0.0,1
14.629104767,125,180184.4344542264,14,2,0.0,0.0,1
14.729104767,126,180184.4344542264,14,2,0.0,0.0,1
14.829104767,127,180184.4344542264,14,2,0.0,0.0,1
14.929104767,128,180184.4344542264,14,2,0.0,0.0,1
15.029104767,129,180184.4344542264,14,2,0.0,0.0,1
15.129104767,130,180184.4344542264,14,2,0.0,0.0,1
15.229104767,131,180184.4344542264,14,2,0.0,0.0,1
15.329104767,132,180184.4344542264,14,2,0.0,0.0,1
15.429104767,133,180184.4344542264,14,2,0.0,0.0,1
15.529104767,134,180184.4344542264,14,2,0.0,0.0,1
15.629104767,135,180184.4344542264,14,2,0.0,0.0,1
15.729104767,136,180184.4344542264,14,2,0.0,0.0,1
15.829104767,137,180184.4344542264,14,2,0.0,0.0,1
15.929104767,138,180184.4344542264,14,2,0.0,0.0,1
16.029104767,139,180184.4344542264,14,2,0.0,0.0,1
16.129104767,140,180184.4344542264,14,2,0.0,0.0,1
16.229104767,141,180184.4344542264,14,2,0.0,0.0,1
16.329104767,142,180184.4344542264,14,2,0.0,0.0,1
16.429104767,143,180184.4344542264,14,2,0.0,0.0,1
16.529104767,144,180184.4344542264,14,2,0.0,0.0,1
16.629104767,145,180184.4344542264,14,2,0.0,0.0,1
16.729104767,146,180184.4344542264,14,2,0.0,0.0,1
16.829104767,147,180184.4344542264,14,2,0.0,0.0,1
16.929104767,148,180184.4344542264,14,2,0.0,0.0,1
17.029104767,149,180184.4344542264,14,2,0.0,0.0,1
17.129104767,150,180184.4344542264,14,2,0.0,0.0,1
17.229104767,151,180184.4344542264,14,2,0.0,0.0,1
17.329104767,152,180184.4344542264,14,2,0.0,0.0,1
17.429104767,153,180184.4344542264,14,2,0.0,0.0,1
17.529104767,154,180184.4344542264,14,2,0.0,0.0,1
17.629104767,155,180184.4344542264,14,2,0.0,0.0,1
17.729104767,156,180184.4344542264,14,2,0.0,0.0,1
17.829104767,157,180184.4344542264,14,2,0.0,0.0,1
17.929104767,158,180184.4344542264,14,2,0.0,0.0,1
18.029104767,159,180184.4344542264,14,2,0.0,0.0,1
18.129104767,160,180184.4344542264,14,2,0.0,0.0,1
18.229104767,161,180184.4344542264,14,2,0.0,0.0,1
18.329104767,162,180184.4344542264,14,2,0.0,0.0,1
18.429104767,163,180184.4344542264,14,2,0.0,0.0,1
18.529104767,164,180184.4344542264,14,2,0.0,0.0,1
18.629104767,165,180184.4344542264,14,2,0.0,0.0,1
18.729104767,166,180184.4344542264,14,2,0.0,0.0,1
18.829104767,167,180184.4344542264,14,2,0.0,0.0,1
18.929104767,168,180184.4344542264,14,2,0.0,0.0,1
19.029104767,169,180184.4344542264,14,2,0.0,0.0,1
19.129104767,170,180184.4344542264,14,2,0.0,0.0,1
19.229104767,171,180184.4344542264,14,2,0.0,0.0,1
19.329104767,172,180184.4344542264,14,2,0.0,0.0,1
19.429104767,173,180184.4344542264,14,2,0.0,0.0,1
19.529104767,174,180184.4344542264,14,2,0.0,0.0,1
19.629104767,175,180184.4344542264,14,2,0.0,0.0,1
19.729104767,176,180184.4344542264,14,2,0.0,0.0,1
19.829104767,177,180184.4344542264,14,2,0.0,0.0,1
19.929104767,178,180184.4344542264,14,2,0.0,0.0,1
20.029104767,179,180184.4344542264,14,2,0.0,0.0,1
20.129104767,180,180184.4344542264,14,2,0.0,0.0,1
20.229104767,181,180184.4344542264,14,2,0.0,0.0,1
20.329104767,182,180184.4344542264,14,2,0.0,0.0,1
20.429104767,183,180184.4344542264,14,2,0.0,0.0,1
20.529104767,184,180184.4344542264,14,2,0.0,0.0,1
20.629104767,185,180184.4344542264,14,2,0.0,0.0,1
20.729104767,186,180184.4344542264,14,2,0.0,0.0,1
20.829104767,187,180184.4344542264,14,2,0.0,0.0,1
20.929104767,188,180184.4344542264,14,2,0.0,0.0,1
21.029104767,189,180184.4344542264,14,2,0.0,0.0,1
21.129104767,190,180184.4344542264,14,2,0.0,0.0,1
21.229104767,191,180184.4344542264,14,2,0.0,0.0,1
21.329104767,192,180184.4344542264,14,2,0.0,0.0,1
21.429104767,193,180184.4344542264,14,2,0.0,0.0,1
21.529104767,194,180184.4344542264,14,2,0.0,0.0,1
21.629104767,195,180184.4344542264,14,2,0.0,0.0,1
21.729104767,196,180184.4344542264,14,2,0.0,0.0,1
21.829104767,197,180184.4344542264,14,2,0.0,0.0,1
21.929104767,198,180184.4344542264,14,2,0.0,0.0,1
22.029104767,199,180184.4344542264,14,2,0.0,0.0,1
22.129104767,200,180184.4344542264,14,2,0.0,0.0,1
22.229104767,201,180184.4344542264,14,2,0.0,0.0,1
22.329104767,202,180184.4344542264,14,2,0.0,0.0,1
22.429104767,203,180184.4344542264,14,2,0.0,0.0,1
22.529104767,204,180184.4344542264,14,2,0.0,0.0,1
22.629104767,205,180184.4344542264,14,2,0.0,0.0,1
22.729104767,206,180184.4344542264,14,2,0.0,0.0,1
22.829104767,207,180184.4344542264,14,2,0.0,0.0,1
22.929104767,208,180184.4344542264,14,2,0.0,0.0,1
23.029104767,209,180184.4344542264,14,2,0.0,0.0,1
23.129104767,210,180184.4344542264,14,2,0.0,0.0,1
23.229104767,211,180184.4344542264,14,2,0.0,0.0,1
23.329104767,212,180184.4344542264,14,2,0.0,0.0,1
23.429104767,213,180184.4344542264,14,2,0.0,0.0,1
23.529104767,214,180184.4344542264,14,2,0.0,0.0,1
23.629104767,215,180184.4344542264,14,2,0.0,0.0,1
23.729104767,216,180184.4344542264,14,2,0.0,0.0,1
23.829104767,217,180184.4344542264,14,2,0.0,0.0,1
23.929104767,218,180184.4344542264,14,2,0.0,0.0,1
24.029104767,219,180184.4344542264,14,2,0.0,0.0,1
24.129104767,220,180184.4344542264,14,2,0.0,0.0,1
24.229104767,221,180184.4344542264,14,2,0.0,0.0,1
24.329104767,222,180184.4344542264,14,2,0.0,0.0,1
24.429104767,223,180184.4344542264,14,2,0.0,0.0,1
24.529104767,224,180184.4344542264,14,2,0.0,0.0,1
24.629104767,225,180184.4344542264,14,2,0.0,0.0,1
24.729104767,226,180184.4344542264,14,2,0.0,0.0,1
24.829104767,227,180184.4344542264,14,2,0.0,0.0,1
24.929104767,228,180184.4344542264,14,2,0.0,0.0,1
25.029104767,229,180184.4344542264,14,2,0.0,0.0,1
25.129104767,230,180184.4344542264,14,2,0.0,0.0,1
25.229104767,231,180184.4344542264,14,2,0.0,0.0,1
25.329104767,232,180184.4344542264,14,2,0.0,0.0,1
25.429104767,233,180184.4344542264,14,2,0.0,0.0,1
25.529104767,234,180184.4344542264,14,2,0.0,0.0,1
25.629104767,235,180184.4344542264,14,2,0.0,0.0,1
25.729104767,236,180184.4344542264,14,2,0.0,0.0,1
25.829104767,237,180184.4344542264,14,2,0.0,0.0,1
25.929104767,238,180184.4344542264,14,2,0.0,0.0,1
26.029104767,239,180184.4344542264,14,2,0.0,0.0,1
26.129104767,240,180184.4344542264,14,2,0.0,0.0,1
26.229104767,241,180184.4344542264,14,2,0.0,0.0,1
